fundo,Fundo,temporada,variedad,biofix_tipo,biofix_fecha,t0_operativo,t0_latitudinal,fecha_brotacion_ELP4,fecha_inicio_ventana,fecha_fin_ventana,fecha_fondo_valle,metrica_valle,valor_minimo_valle,dias_biofix_vs_valle,gdd_entre_biofix_y_t0,gdd_entre_biofix_y_brotacion,gdd_previo_a_t0_desde_inicio_ventana,actividad_termica_en_biofix,diagnostico_valle,comentario_metodologico,fuente_clima,archivo_origen
los_acacios,Los Acacios,2025_2026,cabernet_sauvignon,1_agosto,2025-08-01,2025-08-28,2025-08-01,2025-09-14,2025-01-01,2026-05-20,2025-07-15,promedio_movil_14d_temp_media,9.69,17,94.78,165.0,1418.38,12.81,cercano_al_valle,"Biofix (2025-08-01) cae en la ventana fisiológica del fondo térmico invernal (2025-07-15, +17d).",INIA/Agromet,data/processed/phenology_climate/los_acacios_cabernet_sauvignon_2025_2026.xlsx
los_acacios,Los Acacios,2025_2026,cabernet_sauvignon,15_agosto,2025-08-15,2025-08-28,2025-08-01,2025-09-14,2025-01-01,2026-05-20,2025-07-15,promedio_movil_14d_temp_media,9.69,31,39.05,109.27,1418.38,12.72,posterior_al_valle,Biofix (2025-08-15) posterior al fondo invernal (2025-07-15) en 31 días; omite calentamiento temprano.,INIA/Agromet,data/processed/phenology_climate/los_acacios_cabernet_sauvignon_2025_2026.xlsx
los_acacios,Los Acacios,2025_2026,cabernet_sauvignon,1_septiembre,2025-09-01,2025-08-28,2025-08-01,2025-09-14,2025-01-01,2026-05-20,2025-07-15,promedio_movil_14d_temp_media,9.69,48,-12.24,57.98,1418.38,12.35,posterior_al_valle,Biofix (2025-09-01) posterior al fondo invernal (2025-07-15) en 48 días; omite calentamiento temprano.,INIA/Agromet,data/processed/phenology_climate/los_acacios_cabernet_sauvignon_2025_2026.xlsx
los_acacios,Los Acacios,2025_2026,cabernet_sauvignon,t0_operativo,2025-08-28,2025-08-28,2025-08-01,2025-09-14,2025-01-01,2026-05-20,2025-07-15,promedio_movil_14d_temp_media,9.69,44,0.0,70.22,1418.38,11.97,posterior_al_valle,Biofix (2025-08-28) posterior al fondo invernal (2025-07-15) en 44 días; omite calentamiento temprano.,INIA/Agromet,data/processed/phenology_climate/los_acacios_cabernet_sauvignon_2025_2026.xlsx
los_acacios,Los Acacios,2025_2026,cabernet_sauvignon,t0_latitudinal,2025-08-01,2025-08-28,2025-08-01,2025-09-14,2025-01-01,2026-05-20,2025-07-15,promedio_movil_14d_temp_media,9.69,17,94.78,165.0,1418.38,12.81,cercano_al_valle,"Biofix (2025-08-01) cae en la ventana fisiológica del fondo térmico invernal (2025-07-15, +17d).",INIA/Agromet,data/processed/phenology_climate/los_acacios_cabernet_sauvignon_2025_2026.xlsx
lourdes,Lourdes,2025_2026,cabernet_sauvignon,1_mayo,2025-05-01,2025-08-27,2025-08-25,2025-09-17,2025-05-01,2026-05-19,2025-06-26,promedio_movil_14d_temp_media,5.4,-56,236.67,306.02,236.67,11.06,anterior_al_valle,Biofix (2025-05-01) precede al fondo invernal (2025-06-26) en 56 días; arrastra 236.7 GDD de calor otoñal previo a T0.,INIA/Agromet,data/processed/phenology_climate/lourdes_cabernet_sauvignon_2025_2026.xlsx
lourdes,Lourdes,2025_2026,cabernet_sauvignon,15_mayo,2025-05-15,2025-08-27,2025-08-25,2025-09-17,2025-05-01,2026-05-19,2025-06-26,promedio_movil_14d_temp_media,5.4,-42,191.18,260.53,236.67,11.16,anterior_al_valle,Biofix (2025-05-15) precede al fondo invernal (2025-06-26) en 42 días; arrastra 191.2 GDD de calor otoñal previo a T0.,INIA/Agromet,data/processed/phenology_climate/lourdes_cabernet_sauvignon_2025_2026.xlsx
lourdes,Lourdes,2025_2026,cabernet_sauvignon,1_junio,2025-06-01,2025-08-27,2025-08-25,2025-09-17,2025-05-01,2026-05-19,2025-06-26,promedio_movil_14d_temp_media,5.4,-25,152.58,221.93,236.67,8.85,anterior_al_valle,Biofix (2025-06-01) precede al fondo invernal (2025-06-26) en 25 días; arrastra 152.6 GDD de calor otoñal previo a T0.,INIA/Agromet,data/processed/phenology_climate/lourdes_cabernet_sauvignon_2025_2026.xlsx
lourdes,Lourdes,2025_2026,cabernet_sauvignon,solsticio_invierno,2025-06-21,2025-08-27,2025-08-25,2025-09-17,2025-05-01,2026-05-19,2025-06-26,promedio_movil_14d_temp_media,5.4,-5,130.89,200.24,236.67,7.02,cercano_al_valle,"Biofix (2025-06-21) cae en la ventana fisiológica del fondo térmico invernal (2025-06-26, -5d).",INIA/Agromet,data/processed/phenology_climate/lourdes_cabernet_sauvignon_2025_2026.xlsx
lourdes,Lourdes,2025_2026,cabernet_sauvignon,1_julio,2025-07-01,2025-08-27,2025-08-25,2025-09-17,2025-05-01,2026-05-19,2025-06-26,promedio_movil_14d_temp_media,5.4,5,125.8,195.15,236.67,6.51,cercano_al_valle,"Biofix (2025-07-01) cae en la ventana fisiológica del fondo térmico invernal (2025-06-26, +5d).",INIA/Agromet,data/processed/phenology_climate/lourdes_cabernet_sauvignon_2025_2026.xlsx
lourdes,Lourdes,2025_2026,cabernet_sauvignon,1_agosto,2025-08-01,2025-08-27,2025-08-25,2025-09-17,2025-05-01,2026-05-19,2025-06-26,promedio_movil_14d_temp_media,5.4,36,67.84,137.19,236.67,11.4,posterior_al_valle,Biofix (2025-08-01) posterior al fondo invernal (2025-06-26) en 36 días; omite calentamiento temprano.,INIA/Agromet,data/processed/phenology_climate/lourdes_cabernet_sauvignon_2025_2026.xlsx
lourdes,Lourdes,2025_2026,cabernet_sauvignon,15_agosto,2025-08-15,2025-08-27,2025-08-25,2025-09-17,2025-05-01,2026-05-19,2025-06-26,promedio_movil_14d_temp_media,5.4,50,35.23,104.58,236.67,11.51,posterior_al_valle,Biofix (2025-08-15) posterior al fondo invernal (2025-06-26) en 50 días; omite calentamiento temprano.,INIA/Agromet,data/processed/phenology_climate/lourdes_cabernet_sauvignon_2025_2026.xlsx
lourdes,Lourdes,2025_2026,cabernet_sauvignon,1_septiembre,2025-09-01,2025-08-27,2025-08-25,2025-09-17,2025-05-01,2026-05-19,2025-06-26,promedio_movil_14d_temp_media,5.4,67,-15.82,53.53,236.67,11.02,posterior_al_valle,Biofix (2025-09-01) posterior al fondo invernal (2025-06-26) en 67 días; omite calentamiento temprano.,INIA/Agromet,data/processed/phenology_climate/lourdes_cabernet_sauvignon_2025_2026.xlsx
lourdes,Lourdes,2025_2026,cabernet_sauvignon,t0_operativo,2025-08-27,2025-08-27,2025-08-25,2025-09-17,2025-05-01,2026-05-19,2025-06-26,promedio_movil_14d_temp_media,5.4,62,0.0,69.35,236.67,11.17,posterior_al_valle,Biofix (2025-08-27) posterior al fondo invernal (2025-06-26) en 62 días; omite calentamiento temprano.,INIA/Agromet,data/processed/phenology_climate/lourdes_cabernet_sauvignon_2025_2026.xlsx
lourdes,Lourdes,2025_2026,cabernet_sauvignon,t0_latitudinal,2025-08-25,2025-08-27,2025-08-25,2025-09-17,2025-05-01,2026-05-19,2025-06-26,promedio_movil_14d_temp_media,5.4,60,8.71,78.06,236.67,11.2,posterior_al_valle,Biofix (2025-08-25) posterior al fondo invernal (2025-06-26) en 60 días; omite calentamiento temprano.,INIA/Agromet,data/processed/phenology_climate/lourdes_cabernet_sauvignon_2025_2026.xlsx
nilahue,Nilahue,2025_2026,cabernet_sauvignon,1_mayo,2025-05-01,2025-08-28,2025-08-21,2025-09-20,2024-12-31,2026-05-18,2025-06-25,promedio_movil_14d_temp_media,6.86,-55,274.44,344.58,1260.65,13.15,anterior_al_valle,Biofix (2025-05-01) precede al fondo invernal (2025-06-25) en 55 días; arrastra 274.4 GDD de calor otoñal previo a T0.,Zentra,data/processed/phenology_climate/nilahue_cabernet_sauvignon_2025_2026.xlsx
nilahue,Nilahue,2025_2026,cabernet_sauvignon,15_mayo,2025-05-15,2025-08-28,2025-08-21,2025-09-20,2024-12-31,2026-05-18,2025-06-25,promedio_movil_14d_temp_media,6.86,-41,220.29,290.43,1260.65,12.87,anterior_al_valle,Biofix (2025-05-15) precede al fondo invernal (2025-06-25) en 41 días; arrastra 220.3 GDD de calor otoñal previo a T0.,Zentra,data/processed/phenology_climate/nilahue_cabernet_sauvignon_2025_2026.xlsx
nilahue,Nilahue,2025_2026,cabernet_sauvignon,1_junio,2025-06-01,2025-08-28,2025-08-21,2025-09-20,2024-12-31,2026-05-18,2025-06-25,promedio_movil_14d_temp_media,6.86,-24,170.4,240.54,1260.65,10.33,anterior_al_valle,Biofix (2025-06-01) precede al fondo invernal (2025-06-25) en 24 días; arrastra 170.4 GDD de calor otoñal previo a T0.,Zentra,data/processed/phenology_climate/nilahue_cabernet_sauvignon_2025_2026.xlsx
nilahue,Nilahue,2025_2026,cabernet_sauvignon,solsticio_invierno,2025-06-21,2025-08-28,2025-08-21,2025-09-20,2024-12-31,2026-05-18,2025-06-25,promedio_movil_14d_temp_media,6.86,-4,138.48,208.62,1260.65,8.08,cercano_al_valle,"Biofix (2025-06-21) cae en la ventana fisiológica del fondo térmico invernal (2025-06-25, -4d).",Zentra,data/processed/phenology_climate/nilahue_cabernet_sauvignon_2025_2026.xlsx
nilahue,Nilahue,2025_2026,cabernet_sauvignon,1_julio,2025-07-01,2025-08-28,2025-08-21,2025-09-20,2024-12-31,2026-05-18,2025-06-25,promedio_movil_14d_temp_media,6.86,6,133.15,203.28,1260.65,7.59,cercano_al_valle,"Biofix (2025-07-01) cae en la ventana fisiológica del fondo térmico invernal (2025-06-25, +6d).",Zentra,data/processed/phenology_climate/nilahue_cabernet_sauvignon_2025_2026.xlsx
nilahue,Nilahue,2025_2026,cabernet_sauvignon,1_agosto,2025-08-01,2025-08-28,2025-08-21,2025-09-20,2024-12-31,2026-05-18,2025-06-25,promedio_movil_14d_temp_media,6.86,37,68.27,138.41,1260.65,11.39,posterior_al_valle,Biofix (2025-08-01) posterior al fondo invernal (2025-06-25) en 37 días; omite calentamiento temprano.,Zentra,data/processed/phenology_climate/nilahue_cabernet_sauvignon_2025_2026.xlsx
