fundo,temporada,variedad,biofix_tipo,biofix_fecha,fecha_brotacion_ELP4,gdd_acumulado_a_brotacion,gdd_acumulado_previo_t0,gdd_entre_biofix_y_t0,dias_biofix_vs_valle,diagnostico_valle,threshold_GDD_usado,alerta_temporada_anterior,diagnostico_biofix
keule,2025_2026,chardonnay,1_agosto,2025-08-01,2025-08-26,61.70901263407893,166.02899652618746,66.56276671812478,36,posterior_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (66.6 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
keule,2025_2026,chardonnay,15_agosto,2025-08-15,2025-08-26,30.475418118513804,166.02899652618746,35.329172202559626,50,posterior_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (35.3 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
keule,2025_2026,chardonnay,1_septiembre,2025-09-01,2025-08-26,,166.02899652618746,-8.033780713823386,67,posterior_al_valle,21.274585190099017,SI: Biofix posterior a fecha de brotación observada,biofix_posterior_a_brotacion
los_acacios,2025_2026,chardonnay,15_julio,2025-07-15,2025-09-01,160.68266281683498,1418.3836031118055,144.18629835261166,0,cercano_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (144.2 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
los_acacios,2025_2026,chardonnay,1_agosto,2025-08-01,2025-09-01,111.27393324016245,1418.3836031118055,94.77756877593913,17,cercano_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (94.8 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
los_acacios,2025_2026,chardonnay,15_agosto,2025-08-15,2025-09-01,55.54481731988063,1418.3836031118055,39.04845285565732,31,posterior_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (39.0 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
los_acacios,2025_2026,chardonnay,1_septiembre,2025-09-01,2025-09-01,4.257259079364048,1418.3836031118055,-12.239105384859267,48,posterior_al_valle,21.274585190099017,NO,OK
lourdes,2025_2026,chardonnay,15_julio,2025-07-15,2025-09-06,139.4307478638029,236.66593680595608,110.51671579147829,20,cercano_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (110.5 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
lourdes,2025_2026,chardonnay,1_agosto,2025-08-01,2025-09-06,96.75863143163221,236.66593680595608,67.8445993593076,37,posterior_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (67.8 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
lourdes,2025_2026,chardonnay,15_agosto,2025-08-15,2025-09-06,64.13961498892718,236.66593680595608,35.22558291660255,51,posterior_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (35.2 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
lourdes,2025_2026,chardonnay,1_septiembre,2025-09-01,2025-09-06,13.090053096837082,236.66593680595608,-15.823978975487547,68,posterior_al_valle,21.274585190099017,NO,OK
nilahue,2025_2026,chardonnay,15_julio,2025-07-15,2025-08-29,113.83455557773704,1260.6505201844432,110.98963712518389,21,cercano_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (111.0 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
nilahue,2025_2026,chardonnay,1_agosto,2025-08-01,2025-08-29,71.11538894106044,1260.6505201844432,68.27047048850736,38,posterior_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (68.3 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
nilahue,2025_2026,chardonnay,15_agosto,2025-08-15,2025-08-29,35.711578961906426,1260.6505201844432,32.86666050935331,52,posterior_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (32.9 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
nilahue,2025_2026,chardonnay,1_septiembre,2025-09-01,2025-08-29,,1260.6505201844432,-8.394594954491765,69,posterior_al_valle,21.274585190099017,SI: Biofix posterior a fecha de brotación observada,biofix_posterior_a_brotacion
qba_seca,2025_2026,chardonnay,15_julio,2025-07-15,2025-08-11,92.38918886591809,1343.9246202195548,50.68729945323027,0,cercano_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (50.7 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
qba_seca,2025_2026,chardonnay,1_agosto,2025-08-01,2025-08-11,44.02759706473303,1343.9246202195548,2.325707652045214,17,cercano_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (2.3 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
qba_seca,2025_2026,chardonnay,15_agosto,2025-08-15,2025-08-11,,1343.9246202195548,-50.71253495687362,31,posterior_al_valle,21.274585190099017,SI: Biofix posterior a fecha de brotación observada,biofix_posterior_a_brotacion
qba_seca,2025_2026,chardonnay,1_septiembre,2025-09-01,2025-08-11,,1343.9246202195548,-100.45035027680159,48,posterior_al_valle,21.274585190099017,SI: Biofix posterior a fecha de brotación observada,biofix_posterior_a_brotacion
ucuquer,2025_2026,chardonnay,15_julio,2025-07-15,2025-08-19,104.35803043799632,1198.5300082037713,82.9144761154398,22,posterior_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (82.9 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
ucuquer,2025_2026,chardonnay,1_agosto,2025-08-01,2025-08-19,57.311962613203164,1198.5300082037713,35.86840829064664,39,posterior_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (35.9 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
ucuquer,2025_2026,chardonnay,15_agosto,2025-08-15,2025-08-19,13.860919314865374,1198.5300082037713,-7.582635007691154,53,posterior_al_valle,21.274585190099017,NO,OK
ucuquer,2025_2026,chardonnay,1_septiembre,2025-09-01,2025-08-19,,1198.5300082037713,-51.41670763200967,70,posterior_al_valle,21.274585190099017,SI: Biofix posterior a fecha de brotación observada,biofix_posterior_a_brotacion
idahue,2025_2026,sauvignon_blanc,15_julio,2025-07-15,2025-09-17,173.99069722478905,1283.5965276891986,57.04072634830729,21,cercano_al_valle,61.71003963792677,SI: Acumulación térmica previa a t0 (57.0 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
idahue,2025_2026,sauvignon_blanc,1_agosto,2025-08-01,2025-09-17,137.55511829567155,1283.5965276891986,20.605147419189734,38,posterior_al_valle,61.71003963792677,SI: Acumulación térmica previa a t0 (20.6 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
idahue,2025_2026,sauvignon_blanc,15_agosto,2025-08-15,2025-09-17,102.51446950238245,1283.5965276891986,-14.435501374099363,52,posterior_al_valle,61.71003963792677,NO,OK
idahue,2025_2026,sauvignon_blanc,1_septiembre,2025-09-01,2025-09-17,61.35616470508773,1283.5965276891986,-55.59380617139408,69,posterior_al_valle,61.71003963792677,NO,OK
keule,2025_2026,sauvignon_blanc,15_julio,2025-07-15,2025-09-07,122.66597173807612,166.02899652618746,102.60337762536737,19,cercano_al_valle,61.71003963792677,SI: Acumulación térmica previa a t0 (102.6 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
keule,2025_2026,sauvignon_blanc,1_agosto,2025-08-01,2025-09-07,86.62536083083351,166.02899652618746,66.56276671812478,36,posterior_al_valle,61.71003963792677,SI: Acumulación térmica previa a t0 (66.6 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
keule,2025_2026,sauvignon_blanc,15_agosto,2025-08-15,2025-09-07,55.39176631526836,166.02899652618746,35.329172202559626,50,posterior_al_valle,61.71003963792677,SI: Acumulación térmica previa a t0 (35.3 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
keule,2025_2026,sauvignon_blanc,1_septiembre,2025-09-01,2025-09-07,12.028813398885355,166.02899652618746,-8.033780713823386,67,posterior_al_valle,61.71003963792677,NO,OK
los_acacios,2025_2026,sauvignon_blanc,15_julio,2025-07-15,2025-09-10,193.6455708277872,1418.3836031118055,144.18629835261166,0,cercano_al_valle,61.71003963792677,SI: Acumulación térmica previa a t0 (144.2 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
los_acacios,2025_2026,sauvignon_blanc,1_agosto,2025-08-01,2025-09-10,144.23684125111464,1418.3836031118055,94.77756877593913,17,cercano_al_valle,61.71003963792677,SI: Acumulación térmica previa a t0 (94.8 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
los_acacios,2025_2026,sauvignon_blanc,15_agosto,2025-08-15,2025-09-10,88.50772533083287,1418.3836031118055,39.04845285565732,31,posterior_al_valle,61.71003963792677,SI: Acumulación térmica previa a t0 (39.0 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
los_acacios,2025_2026,sauvignon_blanc,1_septiembre,2025-09-01,2025-09-10,37.220167090316274,1418.3836031118055,-12.239105384859267,48,posterior_al_valle,61.71003963792677,NO,OK
lourdes,2025_2026,sauvignon_blanc,15_julio,2025-07-15,2025-09-17,179.86620231163067,236.66593680595608,110.51671579147829,20,cercano_al_valle,61.71003963792677,SI: Acumulación térmica previa a t0 (110.5 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
lourdes,2025_2026,sauvignon_blanc,1_agosto,2025-08-01,2025-09-17,137.19408587945995,236.66593680595608,67.8445993593076,37,posterior_al_valle,61.71003963792677,SI: Acumulación térmica previa a t0 (67.8 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
lourdes,2025_2026,sauvignon_blanc,15_agosto,2025-08-15,2025-09-17,104.57506943675492,236.66593680595608,35.22558291660255,51,posterior_al_valle,61.71003963792677,SI: Acumulación térmica previa a t0 (35.2 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
lourdes,2025_2026,sauvignon_blanc,1_septiembre,2025-09-01,2025-09-17,53.52550754466483,236.66593680595608,-15.823978975487547,68,posterior_al_valle,61.71003963792677,NO,OK
nilahue,2025_2026,sauvignon_blanc,15_julio,2025-07-15,2025-09-08,135.38885890915935,1260.6505201844432,110.98963712518389,21,cercano_al_valle,61.71003963792677,SI: Acumulación térmica previa a t0 (111.0 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
nilahue,2025_2026,sauvignon_blanc,1_agosto,2025-08-01,2025-09-08,92.66969227248273,1260.6505201844432,68.27047048850736,38,posterior_al_valle,61.71003963792677,SI: Acumulación térmica previa a t0 (68.3 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
nilahue,2025_2026,sauvignon_blanc,15_agosto,2025-08-15,2025-09-08,57.26588229332872,1260.6505201844432,32.86666050935331,52,posterior_al_valle,61.71003963792677,SI: Acumulación térmica previa a t0 (32.9 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
nilahue,2025_2026,sauvignon_blanc,1_septiembre,2025-09-01,2025-09-08,16.004626829483644,1260.6505201844432,-8.394594954491765,69,posterior_al_valle,61.71003963792677,NO,OK
qba_seca,2025_2026,sauvignon_blanc,15_julio,2025-07-15,2025-08-11,92.38918886591809,1343.9246202195548,50.68729945323027,0,cercano_al_valle,61.71003963792677,SI: Acumulación térmica previa a t0 (50.7 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
qba_seca,2025_2026,sauvignon_blanc,1_agosto,2025-08-01,2025-08-11,44.02759706473303,1343.9246202195548,2.325707652045214,17,cercano_al_valle,61.71003963792677,SI: Acumulación térmica previa a t0 (2.3 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
qba_seca,2025_2026,sauvignon_blanc,15_agosto,2025-08-15,2025-08-11,,1343.9246202195548,-50.71253495687362,31,posterior_al_valle,61.71003963792677,SI: Biofix posterior a fecha de brotación observada,biofix_posterior_a_brotacion
qba_seca,2025_2026,sauvignon_blanc,1_septiembre,2025-09-01,2025-08-11,,1343.9246202195548,-100.45035027680159,48,posterior_al_valle,61.71003963792677,SI: Biofix posterior a fecha de brotación observada,biofix_posterior_a_brotacion
